time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.53,  0.285593 0.00140429   0.540918, 0.83507 -2.09871  18.7191,0.462324 0.254701 0.103971,   0.79549 -0.0256548  0.0448985, -0.17199  0.134599 0.0599338, 0.211975 -0.309668 0.0417467,0 0 0,0 0 0,0 0 0,0 0 0
0.54,   0.294943 -0.00208161    0.536052, 1.23358 -2.41724  19.3155,0.477979 0.262954 0.113488,  0.806695 -0.0215575  0.0356802,-0.150398  0.127568 0.0654202, 0.225718 -0.312565 0.0309225,0 0 0,0 0 0,0 0 0,0 0 0
0.55,   0.304292 -0.00556857    0.530211, 1.62903 -2.73749  19.9111,0.493932 0.271355 0.122137,  0.816539 -0.0179569  0.0273031,-0.128371  0.120421  0.070406, 0.237794 -0.315108  0.021086,0 0 0,0 0 0,0 0 0,0 0 0
0.56,   0.313642 -0.00905653    0.523396,  2.0214 -3.05941  20.5058,0.510062 0.279841 0.129701,  0.824889 -0.0149015  0.0199775,-0.106071  0.113213  0.074766, 0.248042 -0.317265 0.0124842,0 0 0,0 0 0,0 0 0,0 0 0
0.57,  0.322992 -0.0125455   0.515606, 2.41068 -3.38297  21.0998,0.526252 0.288349 0.135962,  0.831613 -0.0124402  0.0139138,-0.0836568   0.105999   0.078375,  0.256296     -0.319 0.00536413,0 0 0,0 0 0,0 0 0,0 0 0
0.58,  0.332343 -0.0160354   0.506841, 2.79686 -3.70815   21.693,0.542382 0.296814 0.140702,  0.836579 -0.0106217 0.00932216,-0.0612904   0.098835  0.0811078,    0.262395    -0.320282 -2.73982e-05,0 0 0,0 0 0,0 0 0,0 0 0
0.59,  0.341693 -0.0195262   0.497101,3.17993 -4.0349 22.2855,0.558333 0.305172 0.143706,   0.839656 -0.00949487  0.00641297,-0.0391322  0.0917773  0.0828392,   0.266174   -0.321075 -0.00344341,0 0 0,0 0 0,0 0 0,0 0 0
0.6,  0.351044 -0.0230179   0.486386,3.55987 -4.3632 22.8773,0.573986 0.313361 0.144756,   0.840711 -0.00910841   0.0053965,-0.0173428  0.0848815  0.0834442,    0.26747   -0.321347 -0.00463695,0 0 0,0 0 0,0 0 0,0 0 0
0.61,  0.360388 -0.0264935   0.474747,  3.9346 -4.69197  23.4688,0.589613 0.321518 0.143796,   0.840711 -0.00910841   0.0053965,0.00445918   0.078031  0.0827917,    0.26747   -0.321347 -0.00463695,0 0 0,-1.34458 -3.49477  12.4215,0 0 0,-2.69889  10.9331   37.872
0.62,  0.369691 -0.0298669   0.462432, 4.29369 -5.01603  24.0617, 0.60549 0.329789 0.141051,   0.840711 -0.00910841   0.0053965,0.0266536 0.0711032 0.0809243,    0.26747   -0.321347 -0.00463695,0 0 0,-5.12474 -10.8129   45.263,0 0 0,-9.74892   38.878  133.992
0.63,  0.378911 -0.0330346   0.449738, 4.62464 -5.32917   24.658,0.621504 0.338115 0.136718,   0.840711 -0.00910841   0.0053965, 0.049077 0.0641444 0.0779769,    0.26747   -0.321347 -0.00463695,0 0 0,-10.9601 -17.2049  91.8894,0 0 0,-19.5802  76.5528  262.116
0.64,  0.388006 -0.0358931   0.436962, 4.91496 -5.62517  25.2597, 0.63754  0.34644 0.130997,   0.840711 -0.00910841   0.0053965,0.0715662 0.0572011 0.0740845,    0.26747   -0.321347 -0.00463695,0 0 0,-18.4703 -17.9216  145.666,0 0 0,-30.6227  116.676      396
0.65,  0.396935 -0.0383391   0.424403, 5.15215 -5.89782  25.8688,0.653485 0.354705 0.124084,   0.840711 -0.00910841   0.0053965,0.0939578 0.0503194 0.0693822,    0.26747   -0.321347 -0.00463695,0 0 0,-27.2749 -8.21359  199.958,0 0 0,-41.3065  151.966  509.401
0.66,  0.405657 -0.0402689   0.412355,  5.3237 -6.14092  26.4874,0.669225 0.362854 0.116179,   0.840711 -0.00910841   0.0053965, 0.116088 0.0435458 0.0640048,    0.26747   -0.321347 -0.00463695,0 0 0,-36.9936  16.6685  248.131,0 0 0,-50.0618   175.14  576.074
0.67,  0.414129 -0.0415791   0.401118, 5.41712 -6.34825  27.1174,0.684646 0.370828  0.10748,   0.840711 -0.00910841   0.0053965, 0.137795 0.0369267 0.0580875,    0.26747   -0.321347 -0.00463695,0 0 0,-47.0607  59.3553  283.996,0 0 0,-55.5042  180.307  575.295
0.68,   0.42231 -0.0421662   0.390987,5.41991 -6.5136 27.7609, 0.699636  0.378571 0.0981865,   0.840711 -0.00910841   0.0053965, 0.158914 0.0305084 0.0517652,    0.26747   -0.321347 -0.00463695,0 0 0,-54.8009  95.6477  308.689,0 0 0,-58.944 180.413 560.356
0.69,   0.43016 -0.0419267    0.38226, 5.31957 -6.63075  28.4199, 0.714079  0.386024 0.0884956,   0.840711 -0.00910841   0.0053965, 0.179282 0.0243371 0.0451729,    0.26747   -0.321347 -0.00463695,0 0 0,-59.4449  117.423  323.505,0 0 0,-61.0078  180.476  551.393
0.7,  0.437635 -0.0407572   0.375234, 5.10359 -6.69351  29.0964, 0.727863  0.393131 0.0786063,   0.840711 -0.00910841   0.0053965, 0.198735 0.0184594 0.0384457,    0.26747   -0.321347 -0.00463695,0 0 0,-60.993 124.682 328.443,0 0 0,-61.6958  180.497  548.405
0.71,  0.444709 -0.0385889   0.370109,4.76377 -6.6976 29.7917,0.740874 0.399834 0.068717,   0.840711 -0.00910841   0.0053965, 0.217112 0.0129214 0.0317184,    0.26747   -0.321347 -0.00463695,0 0 0,-59.4449  117.423  323.505,0 0 0,-61.0078  180.476  551.393
0.72, 0.451409 -0.035491  0.366687, 4.30905 -6.64654  30.5044, 0.752998  0.406075 0.0590261,   0.840711 -0.00910841   0.0053965,  0.234247 0.00776964  0.0251261,    0.26747   -0.321347 -0.00463695,0 0 0,-54.8009  95.6477  308.689,0 0 0,-58.944 180.413 560.356
