time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0,   0    0 0.42,0 0 0,0.34 0.19    0, 0.34 -0.19     0,-0.34  0.19     0,-0.34 -0.19     0,-14.4452  4.76092  299.238,-196.473  56.6917  594.588, 12.206 11.0123 249.039,-24.7683  36.6978  299.928
0.42,0.167795 0.129102  0.50105,-4.87722  3.13535  1.19617,  0.346212   0.192012 0.00416084,  0.596813 -0.0929252  0.0950408, -0.332691   0.194315 0.00374162, -0.083878 -0.0144669   0.132385,0 0 0,0 0 0,0 0 0,0 0 0
0.43,0.180756 0.129487 0.507156,-3.95755  2.93567 0.293097,  0.353673   0.194439 0.00902753,  0.614026 -0.0873505  0.0916576, -0.323896   0.199488 0.00811799, -0.0677802 -0.00127831    0.127383,0 0 0,0 0 0,0 0 0,0 0 0
0.44, 0.19372 0.129874 0.512279, -3.03509   2.74217 -0.611373, 0.363768  0.197736 0.0154545,  0.631457 -0.0818005  0.0871897,-0.311979  0.206475 0.0138975,-0.0515895  0.0122232   0.120777,0 0 0,0 0 0,0 0 0,0 0 0
0.45,0.206686 0.130262 0.516419,-2.10995   2.5549 -1.51723, 0.376295  0.201845 0.0232189,   0.64896 -0.0763111  0.0817921,-0.297166  0.215129 0.0208796,-0.0354287  0.0259082   0.112796,0 0 0,0 0 0,0 0 0,0 0 0
0.46,0.219655 0.130651 0.519577,-1.18224  2.37393 -2.42445,  0.39105  0.206707 0.0320979,   0.66639 -0.0709177  0.0756197,-0.279686  0.225304  0.028864,-0.0194206  0.0396474    0.10367,0 0 0,0 0 0,0 0 0,0 0 0
0.47,0.232625 0.131041 0.521753,-0.25204  2.19929 -3.33303, 0.407833  0.212265 0.0418684, 0.683601 -0.065656 0.0688274,-0.259768  0.236851 0.0376501,-0.00368791   0.0533116   0.0936276,0 0 0,0 0 0,0 0 0,0 0 0
0.48,0.245599 0.131433 0.522947,0.680531  2.03104 -4.24294, 0.426441   0.21846 0.0523076,  0.700446 -0.0605616  0.0615703,-0.237638  0.249625 0.0470376,0.0116465 0.0667714 0.0828977,0 0 0,0 0 0,0 0 0,0 0 0
0.49,0.258574 0.131826 0.523158, 1.61537  1.86924 -5.15416, 0.446672  0.225234 0.0631927,  0.716782 -0.0556701  0.0540033,-0.213524  0.263477 0.0568259,0.0264598 0.0798975 0.0717095,0 0 0,0 0 0,0 0 0,0 0 0
0.5,0.271552  0.13222 0.522387, 2.55239  1.71393 -6.06669, 0.468322  0.232529 0.0743006,  0.732461 -0.0510172  0.0462813,-0.187655  0.278262 0.0668147,0.0406292 0.0925606 0.0602923,0 0 0,0 0 0,0 0 0,0 0 0
0.51,0.284532 0.132615 0.520634, 3.49148  1.56516 -6.98051, 0.491191  0.240286 0.0854086,  0.747339 -0.0466383  0.0385593,-0.160258  0.293831 0.0768035,0.0540319  0.104631  0.048875,0 0 0,0 0 0,0 0 0,0 0 0
0.52,0.297515 0.133012 0.517898, 4.43253  1.42297 -7.89561, 0.515075  0.248448 0.0962936,  0.761269 -0.0425692  0.0309923,-0.131561  0.310038 0.0865919,0.0665452  0.115981 0.0376868,0 0 0,0 0 0,0 0 0,0 0 0
0.53,0.310501  0.13341  0.51418, 5.37544   1.2874 -8.81194,0.539772 0.256956 0.106733,  0.774105 -0.0388455  0.0237352,-0.101793  0.326735 0.0959793,0.0780462  0.126479 0.0269569,0 0 0,0 0 0,0 0 0,0 0 0
0.54,0.323491 0.133809 0.509479, 6.32008  1.15847 -9.72946,0.565081 0.265752 0.116503,  0.785703 -0.0355027  0.0169429,-0.0711802   0.343777   0.104765,0.0884122  0.135997 0.0169143,0 0 0,0 0 0,0 0 0,0 0 0
0.55,0.336482  0.13421 0.503795, 7.26633  1.03623 -10.6481,0.590799 0.274778 0.125382,  0.795916 -0.0325765  0.0107705,-0.0399515   0.361014    0.11275,0.0975203  0.144405 0.0077881,0 0 0,0 0 0,0 0 0,0 0 0
0.56,0.349477 0.134611 0.497129,  8.2141 0.920714 -11.5679,0.616723 0.283975 0.133147,  0.804599 -0.0301025 0.00537287,-0.00833459    0.378302    0.119732,    0.105248     0.151575 -0.000192535,0 0 0,0 0 0,0 0 0,0 0 0
0.57,0.362474 0.135013  0.48948, 9.16325 0.811954 -12.4888,0.642651 0.293286 0.139574,   0.811606  -0.0281162 0.000904966,0.0234427  0.395491  0.125511,   0.111472    0.157376 -0.00679851,0 0 0,0 0 0,0 0 0,0 0 0
0.58,0.375473 0.135416 0.480848, 10.1137 0.709986 -13.4108,0.668382 0.302652  0.14444,   0.816792  -0.0266534 -0.00247824,0.0551525  0.412436  0.129888,  0.116069    0.16168 -0.0118007,0 0 0,0 0 0,0 0 0,0 0 0
0.59,0.388475  0.13582 0.471234, 11.0653 0.614847 -14.3337,0.693712 0.312016 0.147524,   0.82001 -0.0257496 -0.0046218,0.0865669   0.42899  0.132661,  0.118918   0.164357 -0.0149701,0 0 0,0 0 0,0 0 0,0 0 0
0.6,0.401478 0.136224 0.460637, 12.0179 0.526572 -15.2576, 0.71844 0.321317 0.148601,   0.821115  -0.0254404 -0.00537076,0.117458 0.445004 0.133629,  0.119895   0.165279 -0.0160774,0 0 0,0 0 0,0 0 0,0 0 0
0.61,0.414484 0.136638 0.449111, 12.9685 0.445771   -16.18, 0.74298  0.33073 0.146884,   0.821115  -0.0254404 -0.00537076,0.148363 0.460737 0.132707,  0.119895   0.165279 -0.0160774,0 0 0,-3.93736  1.54557  67.2234,0 0 0, 4.58892 -4.04297  61.1846
0.62,0.427489 0.137113 0.436928, 13.9022 0.375365 -17.0884, 0.76777 0.340409  0.14197,   0.821115  -0.0254404 -0.00537076,0.179816 0.476485 0.130066,  0.119895   0.165279 -0.0160774,0 0 0,-14.1231  7.03459  233.965,0 0 0, 16.2381 -13.9821    212.4
0.63,0.440488 0.137708 0.424414, 14.8011 0.318856 -17.9682,0.792649 0.350274 0.134214,   0.821115  -0.0254404 -0.00537076,0.211586 0.492157 0.125897,  0.119895   0.165279 -0.0160774,0 0 0,-28.1176  17.7455  447.833,0 0 0, 31.7711 -26.5327  405.139
0.64,0.453477 0.138483 0.411894, 15.6474 0.279746 -18.8043,0.817452 0.360243 0.123971,   0.821115  -0.0254404 -0.00537076,0.243444 0.507666 0.120392,  0.119895   0.165279 -0.0160774,0 0 0,-43.4815  34.9569  656.434,0 0 0, 48.0115 -38.4101  590.895
0.65,0.466453 0.139498 0.399695, 16.4232 0.261536 -19.5821,0.842017 0.370236 0.111596,   0.821115  -0.0254404 -0.00537076,0.275158 0.522923 0.113742,  0.119895   0.165279 -0.0160774,0 0 0,-57.7751   59.947  807.375,0 0 0, 61.7831 -46.3295  721.158
0.66,0.479411 0.140814 0.388144, 17.1106 0.267728 -20.2865,  0.86618  0.380171 0.0974454,   0.821115  -0.0254404 -0.00537076,0.306498  0.53784 0.106137,  0.119895   0.165279 -0.0160774,0 0 0,-68.5589  93.9946  848.265,0 0 0, 69.9093 -47.0063  747.423
