time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.49, 0.238162 0.0339987  0.546274,-1.15479 0.746255 -3.57005, 0.445939  0.182107 0.0512524, 0.669075 -0.225856 0.0728238,-0.226067  0.209509 0.0593288,  0.010221 -0.0883198  0.0931477,0 0 0,0 0 0,0 0 0,0 0 0
0.5,0.250913 0.030743 0.547174,-0.337701  0.454941  -4.27192, 0.467599  0.180494 0.0602615, 0.681347 -0.227194 0.0633526,-0.202772  0.213498 0.0697576, 0.0232809 -0.0845281  0.0810333,0 0 0,0 0 0,0 0 0,0 0 0
0.51, 0.263663 0.0274872  0.547094,0.482675 0.168102 -4.97579, 0.490535  0.178785 0.0692706, 0.692935 -0.228456 0.0538814,-0.178106  0.217721 0.0801863, 0.0356143 -0.0809473  0.0689188,0 0 0,0 0 0,0 0 0,0 0 0
0.52, 0.276414 0.0242315  0.546032,  1.30629 -0.114205  -5.68168, 0.514556  0.176995 0.0780989, 0.703739 -0.229633 0.0446002,-0.152273  0.222145 0.0904058, 0.0471122 -0.0776091  0.0570474,0 0 0,0 0 0,0 0 0,0 0 0
0.53, 0.289165 0.0209758  0.543991,  2.13311 -0.391922  -6.38959,  0.53947  0.175139 0.0865657, 0.713655 -0.230714 0.0356992,-0.125479  0.226733  0.100207, 0.0576655 -0.0745452  0.0456622,0 0 0,0 0 0,0 0 0,0 0 0
0.54,0.301915  0.01772 0.540968,  2.96307 -0.664994  -7.09952,0.565085 0.173231  0.09449, 0.722581 -0.231687 0.0273683,-0.0979305    0.23145    0.10938, 0.0671653 -0.0717871  0.0350064,0 0 0,0 0 0,0 0 0,0 0 0
0.55, 0.314666 0.0144643  0.536965,  3.79615 -0.933363  -7.81147,0.591211 0.171284 0.101691, 0.730415  -0.23254 0.0197977,-0.0698331   0.236261   0.117716, 0.0755026 -0.0693665  0.0253229,0 0 0,0 0 0,0 0 0,0 0 0
0.56, 0.327417 0.0112086  0.531981, 4.63228 -1.19697 -8.52544,0.617656 0.169314 0.107989, 0.737054 -0.233264 0.0131773,-0.0413927   0.241131   0.125006, 0.0825684 -0.0673151  0.0168549,0 0 0,0 0 0,0 0 0,0 0 0
0.57,  0.340167 0.00795282   0.526016, 5.47143 -1.45577 -9.24144,0.644229 0.167334 0.113201,  0.742396  -0.233846 0.00769734,-0.0128151   0.246024    0.13104, 0.0882537 -0.0656644 0.00984554,0 0 0,0 0 0,0 0 0,0 0 0
0.58,  0.352918 0.00469708   0.519071, 6.31356 -1.70969 -9.95947,0.670738  0.16536 0.117148,  0.746339  -0.234275 0.00354775,0.015694 0.250906 0.135609, 0.0924496 -0.0644462 0.00453786,0 0 0,0 0 0,0 0 0,0 0 0
0.59,  0.365668 0.00144135   0.511145, 7.15862 -1.95868 -10.6795,0.696991 0.163404 0.119649,    0.74878   -0.234541 0.000918613,0.0439286  0.255741  0.138504, 0.0950471 -0.0636921 0.00117498,0 0 0,0 0 0,0 0 0,0 0 0
0.6,   0.378419 -0.00181439    0.502239, 8.00655 -2.20269 -11.4016,0.722798 0.161481 0.120523,    0.749616    -0.234632 -2.02539e-11,0.0716828  0.260493  0.139515, 0.0959371 -0.0634337 7.4612e-12,0 0 0,0 0 0,0 0 0,0 0 0
0.61,   0.391154 -0.00505116    0.492407, 8.85364 -2.44197 -12.1243,0.748605 0.159558 0.121099,    0.749616    -0.234632 -2.02539e-11,0.0994371  0.265245  0.138504,  0.0959371  -0.0634337 7.46121e-12,0 0 0, 2.9731 2.39359 52.2554,0 0 0,9.19172 5.34598 84.8828
0.62,   0.403795 -0.00817413    0.481926, 9.68138 -2.67802 -12.8403,0.774859 0.157602 0.122748,    0.749616    -0.234632 -2.02539e-11,0.127672  0.27008 0.135609,  0.0959371  -0.0634337 7.46121e-12,0 0 0,9.46781 10.6701 184.867,0 0 0,29.5594 18.6922 291.409
0.63,  0.416248 -0.0110695   0.471127, 10.4676 -2.91269 -13.5409,0.801368 0.155627 0.125351,    0.749616    -0.234632 -2.02539e-11,0.156181 0.274962  0.13104,  0.0959371  -0.0634337 7.46121e-12,0 0 0,15.8472  26.473 361.601,0 0 0,50.2918 36.0012 547.394
0.64,   0.42842 -0.0136236   0.460342, 11.1901 -3.14778 -14.2173, 0.82794 0.153648 0.128789,    0.749616    -0.234632 -2.02539e-11,0.184758 0.279855 0.125006,  0.0959371  -0.0634337 7.46121e-12,0 0 0,18.4744 51.4458 546.226,0 0 0,60.5778 53.2353 780.656
0.65,  0.440215 -0.0157224   0.449902, 11.8266 -3.38512 -14.8609,0.854385 0.151678 0.132941,    0.749616    -0.234632 -2.02539e-11,0.213199 0.284725 0.117716,  0.0959371  -0.0634337 7.46121e-12,0 0 0,13.7125 87.2322  702.51,0 0 0,49.606 66.357 919.01
0.66,  0.451541 -0.0172523   0.440139, 12.3551 -3.62653 -15.4629,0.880511 0.149731  0.13769,    0.749616    -0.234632 -2.02539e-11,0.241296 0.289536  0.10938,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-2.07534  135.476  794.219,0 0 0,6.56536 71.3287 890.273
0.67,  0.462304 -0.0180995   0.431384, 12.7533 -3.87385 -16.0146,0.906127 0.147823 0.142916,    0.749616    -0.234632 -2.02539e-11,0.268845 0.294253 0.100207,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-31.0028  195.886  792.752,0 0 0,-74.9449  65.1224  643.873
0.68,  0.472409 -0.0181501   0.423969,  12.999 -4.12889 -16.5073,0.931041 0.145967 0.148499,    0.749616    -0.234632 -2.02539e-11, 0.295638  0.298841 0.0904058,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-55.8252  244.475  771.818,0 0 0,-145.196   58.019  409.947
0.69,  0.481763 -0.0172904   0.418225,   13.07 -4.39347 -16.9322,0.955061 0.144177 0.154321,    0.749616    -0.234632 -2.02539e-11, 0.321471  0.303265 0.0801863,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-70.7187  273.628  759.258,0 0 0,-187.347  53.7569  269.592
0.7,  0.490271 -0.0154066   0.414484, 12.9442 -4.66942 -17.2807,0.977997 0.142468 0.160262,    0.749616    -0.234632 -2.02539e-11, 0.346138  0.307488 0.0697576,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-75.6832  283.346  755.071,0 0 0,-201.397  52.3362  222.807
0.71,  0.497871 -0.0124229   0.412966, 12.6067 -4.95801 -17.5468,0.999657 0.140855 0.166202,    0.749616    -0.234632 -2.02539e-11, 0.369432  0.311477 0.0593288,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-70.7187  273.628  759.258,0 0 0,-187.347  53.7569  269.592
0.72,   0.504626 -0.00841497    0.413452, 12.0719 -5.25832 -17.7358, 1.01985  0.13935 0.172024,    0.749616    -0.234632 -2.02539e-11, 0.391149  0.315196 0.0491093,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-55.8252  244.475  771.818,0 0 0,-145.196   58.019  409.947
0.73,    0.51063 -0.00349675    0.415608, 11.3617 -5.56888 -17.8559, 1.03838 0.137969 0.177607,    0.749616    -0.234632 -2.02539e-11, 0.411081  0.318609 0.0393084,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-31.0028  195.886  792.752,0 0 0,-74.9449  65.1224  643.873
0.74,0.515976 0.002218 0.419104,10.4977 -5.8882 -17.915, 1.05507 0.136726 0.182833,    0.749616    -0.234632 -2.02539e-11, 0.429024  0.321681 0.0301353,  0.0959371  -0.0634337 7.46121e-12,0 0 0,-2.07534  135.476  794.219,0 0 0,6.56536 71.3287 890.273
0.75, 0.520759 0.0086155  0.423608, 9.50169 -6.21483 -17.9213, 1.06971 0.135636 0.187582,    0.749616    -0.234632 -2.02539e-11,  0.44477  0.324377 0.0217992,  0.0959371  -0.0634337 7.46121e-12,0 0 0,13.7125 87.2322  702.51,0 0 0,49.606 66.357 919.01
0.76, 0.525072 0.0155819   0.42879, 8.39552 -6.54728 -17.8829, 1.08212 0.134711 0.191734,    0.749616    -0.234632 -2.02539e-11, 0.458116  0.326663 0.0145096,  0.0959371  -0.0634337 7.46121e-12,0 0 0,18.4744 51.4458 546.226,0 0 0,60.5778 53.2353 780.656
0.77, 0.529009 0.0230036  0.434316, 7.20093 -6.88408 -17.8079,  1.0921 0.133967 0.195172,    0.749616    -0.234632 -2.02539e-11,  0.468854   0.328501 0.00847554,  0.0959371  -0.0634337 7.46121e-12,0 0 0,15.8472  26.473 361.601,0 0 0,50.2918 36.0012 547.394
0.78, 0.532665 0.0307665  0.439856, 5.93967 -7.22375 -17.7044, 1.09947 0.133418 0.197775,    0.749616    -0.234632 -2.02539e-11,  0.476779   0.329858 0.00390642,  0.0959371  -0.0634337 7.46121e-12,0 0 0,9.46781 10.6701 184.867,0 0 0,29.5594 18.6922 291.409
0.79, 0.536132 0.0387571  0.445079, 4.63353 -7.56483 -17.5805, 1.10403 0.133078 0.199424,    0.749616    -0.234632 -2.02539e-11,  0.481685   0.330698 0.00101148,  0.0959371  -0.0634337 7.46121e-12,0 0 0, 2.9731 2.39359 52.2554,0 0 0,9.19172 5.34598 84.8828
0.8, 0.539506 0.0468615  0.449652, 3.30425 -7.90584 -17.4442,  1.1056 0.132962      0.2,    0.749616    -0.234632 -2.02539e-11,    0.483366     0.330986 -7.62052e-12,  0.0959371  -0.0634337 7.46121e-12,0 0 0,2.84217e-14 7.10543e-14           0,0 0 0, 1.13687e-13 -2.84217e-14  4.54747e-13
0.81,0.542878 0.054968 0.453344, 1.97334 -8.24596 -17.3033,  1.1056 0.132962      0.2,  0.750964    -0.2347 0.00254791,   0.483366    0.330986 -7.6205e-12, 0.0974014 -0.0632238 0.00135474,-16.5952  -3.9483  66.1825,0 0 0,1.14736 1.55316 52.6984,0 0 0
0.82,0.546333 0.062974 0.456322, 0.66114   -8.587 -17.1631,  1.1056 0.132962      0.2,  0.754899  -0.234898 0.00984019,   0.483366    0.330986 -7.6205e-12,  0.101675 -0.0626112 0.00523209,-53.9666  -14.105  226.226,0 0 0,  3.454 3.31121 186.086,0 0 0
0.83, 0.549953 0.0707788  0.458851,-0.612276  -8.93144  -17.0287,  1.1056 0.132962      0.2, 0.761255 -0.235217 0.0213497,   0.483366    0.330986 -7.6205e-12,  0.108578 -0.0616216  0.0113518,-93.4935 -27.9379  422.373,0 0 0,5.21673 0.92205 363.104,0 0 0
0.84, 0.553821 0.0782818  0.461197,-1.82684 -9.28173 -16.9051,  1.1056 0.132962      0.2, 0.769867  -0.23565 0.0365493,   0.483366    0.330986 -7.6205e-12,  0.117932 -0.0602808  0.0194335,-116.555 -42.9147  596.869,0 0 0, 4.73238 -9.96645  546.689,0 0 0
0.85, 0.558021 0.0853825  0.463627,-2.96248 -9.64035 -16.7973,  1.1056 0.132962      0.2, 0.780571 -0.236189 0.0549118,   0.483366    0.330986 -7.6205e-12,  0.129557 -0.0586144  0.0291969,-104.529 -56.5031  691.956,0 0 0,0.297764 -33.7064  699.783,0 0 0
0.86, 0.562635 0.0919803  0.466407,-3.99912 -10.0098 -16.7104,  1.1056 0.132962      0.2,   0.7932 -0.236824   0.07591,   0.483366    0.330986 -7.6205e-12,  0.143273 -0.0566481  0.0403618,-38.7967 -66.1709  649.879,0 0 0,-9.79029   -74.65  785.323,0 0 0
0.87, 0.567745 0.0979746  0.469802, -4.9167 -10.3924 -16.6493,  1.1056 0.132962      0.2, 0.807591 -0.237547 0.0990169,   0.483366    0.330986 -7.6205e-12,  0.158903 -0.0544077  0.0526479, 91.9225 -69.8204   430.75,0 0 0,-26.4399 -134.658  774.306,0 0 0
0.88,0.573435 0.103265 0.474079,-5.69514 -10.7908  -16.619,  1.1056 0.132962      0.2, 0.823577 -0.238351  0.123705,   0.483366    0.330986 -7.6205e-12,  0.176265 -0.0519188  0.0657748, 205.285 -71.3194  226.229,0 0 0, -40.514 -184.408  745.381,0 0 0
0.89,0.579787  0.10775 0.479504,-6.31438 -11.2074 -16.6247,  1.1056 0.132962      0.2, 0.840995 -0.239227  0.149448,   0.483366    0.330986 -7.6205e-12,  0.195182 -0.0492071  0.0794623, 273.303 -72.2188  103.517,0 0 0,-48.9584 -214.258  728.026,0 0 0
0.9,0.586884  0.11133 0.486343,-6.75434 -11.6447 -16.6711,  1.1056 0.132962      0.2, 0.859678 -0.240166  0.175718,   0.483366    0.330986 -7.6205e-12,  0.215473 -0.0462984  0.0934301, 295.976 -72.5187  62.6128,0 0 0,-51.7732 -224.208  722.241,0 0 0
0.91,0.594781 0.113938 0.494773,-7.00155 -12.1043  -16.762,  1.1056 0.132962      0.2, 0.879461 -0.241161  0.201987,   0.483366    0.330986 -7.6205e-12,  0.236959 -0.0432183   0.107398, 273.303 -72.2188  103.517,0 0 0,-48.9584 -214.258  728.026,0 0 0
0.92,0.603423 0.115641 0.504616,-7.06894 -12.5845 -16.8946,  1.1056 0.132962      0.2,  0.90018 -0.242202   0.22773,   0.483366    0.330986 -7.6205e-12,  0.259462 -0.0399926   0.121085, 205.285 -71.3194  226.229,0 0 0, -40.514 -184.408  745.381,0 0 0
0.93,0.612727 0.116539 0.515607,-6.97602 -13.0828  -17.065,  1.1056 0.132962      0.2,  0.92167 -0.243283  0.252418,   0.483366    0.330986 -7.6205e-12,  0.282801 -0.0366469   0.134212, 91.9225 -69.8204   430.75,0 0 0,-26.4399 -134.658  774.306,0 0 0
