time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.48,  0.200354 -0.0417661   0.586041, -1.70885 -0.183265  -3.59259,0.410026 0.158281 0.067284,  0.58768 -0.305654  0.148441,-0.268028  0.175784 0.0654048,-0.0857242  -0.216313   0.152104,0 0 0,0 0 0,0 0 0,0 0 0
0.49,   0.20837 -0.0467305   0.586017,-0.829564  -0.21202  -3.92386, 0.426516  0.150811 0.0812856, 0.597746 -0.310355  0.131661,-0.251079  0.172436 0.0790153,-0.0753901  -0.217382    0.13491,0 0 0,0 0 0,0 0 0,0 0 0
0.5,  0.216386 -0.0516949   0.585012,0.0498801 -0.238455  -4.25533, 0.444205  0.142799 0.0955739, 0.607357 -0.314843  0.114537,-0.232898  0.168845 0.0929045,-0.0655226  -0.218403   0.117364,0 0 0,0 0 0,0 0 0,0 0 0
0.51,  0.224401 -0.0566592   0.583026, 0.929466 -0.262566  -4.58699,0.462936 0.134314 0.109862, 0.616434 -0.319081 0.0974141,-0.213647  0.165042  0.106794,-0.0562041  -0.219368  0.0998181,0 0 0,0 0 0,0 0 0,0 0 0
0.52,  0.232417 -0.0616236   0.580059,  1.80918 -0.284351  -4.91881,0.482552 0.125429 0.123864, 0.624896 -0.323033 0.0806343,-0.193485  0.161059  0.120404,-0.0475169  -0.220267  0.0826243,0 0 0,0 0 0,0 0 0,0 0 0
0.53, 0.240432 -0.066588  0.576112,   2.689 -0.30381  -5.2508,0.502898 0.116213 0.137292, 0.632662 -0.326659 0.0645418,-0.172573  0.156929  0.133457,-0.0395433  -0.221092  0.0661346,0 0 0,0 0 0,0 0 0,0 0 0
0.54,  0.248448 -0.0715524   0.571184, 3.56893 -0.32094 -5.58292,0.523818 0.106737  0.14986, 0.639654 -0.329924 0.0494802,-0.151072  0.152682  0.145674,-0.0323658  -0.221835  0.0507013,0 0 0,0 0 0,0 0 0,0 0 0
0.55,  0.256463 -0.0765167   0.565275,  4.44893 -0.335739  -5.91517, 0.545153 0.0970724  0.161281,  0.64579 -0.332789 0.0357929,-0.129143   0.14835  0.156776,-0.0260665  -0.222486  0.0366763,0 0 0,0 0 0,0 0 0,0 0 0
0.56,  0.264479 -0.0814811   0.558386,  5.32901 -0.348207  -6.24753,  0.56675 0.0872899  0.171268,  0.65099 -0.335217 0.0238238,-0.106946  0.143966  0.166485,-0.0207279  -0.223039  0.0244117,0 0 0,0 0 0,0 0 0,0 0 0
0.57,  0.272494 -0.0864455   0.550516,  6.20914 -0.358341     -6.58, 0.588451 0.0774603  0.179536, 0.655174 -0.337171 0.0139163,-0.0846423    0.13956   0.174521,-0.0164323  -0.223483  0.0142597,0 0 0,0 0 0,0 0 0,0 0 0
