time , lin_pos[m] , euler_rpy[deg] , foot1_pos[m] , foot2_pos[m] , foot3_pos[m] , foot4_pos[m] , foot1_F[N] , foot2_F[N] , foot3_F[N] , foot4_F[N] , foot1_contact , foot2_contact , foot3_contact , foot4_contact 
0.59, 0.298641 0.0518732  0.506057, 4.87312 -1.37197  2.40804,0.608511 0.266992 0.145974,  0.728326   -0.10762 0.00141634,-0.0721535   0.247338   0.130465, 0.0378408 -0.0994516 0.00148511,0 0 0,0 0 0,0 0 0,0 0 0
0.6, 0.307763 0.0507656  0.494898, 5.72154 -1.47724   2.3662,0.627922 0.272558  0.14704,    0.72912   -0.107452 1.33227e-15,-0.0527908   0.251483   0.131418,  0.0386138  -0.0992663 2.77556e-16,0 0 0,0 0 0,0 0 0,0 0 0
0.61, 0.316883 0.0496733  0.482809, 6.56579 -1.58168  2.32381,0.647333 0.278124 0.145974,    0.72912   -0.107452 1.23705e-15,-0.0334281   0.255628   0.130465,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.0464302    8.73345     30.102,0 0 0,-2.11396  6.63796   27.115
0.62,  0.32599 0.0486729  0.470052, 7.38471 -1.68273  2.28196,0.667079 0.283786 0.142923,    0.72912   -0.107452 1.23705e-15,-0.0137304   0.259845   0.127738,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.174195   31.1346   106.934,0 0 0,-7.52566  23.6795  96.3047
0.63, 0.335071 0.0478563  0.456937, 8.15285 -1.77732  2.24198,0.687018 0.289503 0.138108,    0.72912   -0.107452 1.23705e-15,0.00615885   0.264103   0.123434,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.366007   61.5045   210.286,0 0 0,-14.8398  46.8163  189.336
0.64, 0.344114 0.0473154  0.443776,  8.8448 -1.86238  2.20519,0.707004 0.295234 0.131748,    0.72912   -0.107452 1.23705e-15,0.026096 0.268371  0.11775,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.604578   94.1445   319.946,0 0 0,-22.6612  71.7399  287.976
0.65, 0.353106 0.0471422  0.430882, 9.43514 -1.93485  2.17291,0.726895 0.300938 0.124065,    0.72912   -0.107452 1.23705e-15,0.0459373  0.272618  0.110884,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.872619   123.356   415.703,0 0 0,-29.5945  94.1418  373.991
0.66, 0.362035 0.0474285  0.418564, 9.89844 -1.99165  2.14647,0.746546 0.306572  0.11528,    0.72912   -0.107452 1.23705e-15,0.0655393  0.276814  0.103031,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.15284  143.439  477.348,0 0 0,-34.2444  109.714  429.149
0.67, 0.370886 0.0482662  0.407136, 10.2093 -2.02972  2.12719,0.765812 0.312097 0.105612,    0.72912   -0.107452 1.23705e-15,0.0847584  0.280929 0.0943907,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.42444  149.725  488.607,0 0 0,-35.4758  114.913  438.784
0.68, 0.379649 0.0497473  0.396909, 10.3422 -2.04599  2.11639, 0.784551   0.31747 0.0952822,    0.72912   -0.107452 1.23705e-15, 0.103451   0.28493 0.0851586,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.62941  151.577  486.465,0 0 0,-35.6863  116.666  436.439
0.69, 0.388309 0.0519637  0.388194,10.2719 -2.0374 2.11539, 0.802619   0.32265 0.0845115,    0.72912   -0.107452 1.23705e-15, 0.121473  0.288788 0.0755322,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.7524 152.688 485.179,0 0 0,-35.8127  117.718  435.031
0.7, 0.396854 0.0550072  0.381303, 9.97279 -2.00087  2.12551,  0.81987  0.327597 0.0735202,    0.72912   -0.107452 1.23705e-15, 0.138682  0.292472 0.0657088,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.7934 153.058 484.751,0 0 0,-35.8548  118.068  434.562
0.71, 0.405276 0.0589392  0.376444, 9.42802 -1.93436  2.14761, 0.836161  0.332268 0.0625289,    0.72912   -0.107452 1.23705e-15, 0.154933  0.295951 0.0558853,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.7524 152.688 485.179,0 0 0,-35.8127  117.718  435.031
0.72, 0.413584 0.0636983  0.373409, 8.65454 -1.83984   2.1806, 0.851349  0.336623 0.0517582,    0.72912   -0.107452 1.23705e-15,0.170083 0.299194 0.046259,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.62941  151.577  486.465,0 0 0,-35.6863  116.666  436.439
0.73, 0.421789 0.0691927  0.371886, 7.67778 -1.72034  2.22292,  0.86529  0.340621 0.0414286,    0.72912   -0.107452 1.23705e-15, 0.183989  0.302171 0.0370269,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.42444  149.725  488.607,0 0 0,-35.4758  114.913  438.784
0.74, 0.429904 0.0753304  0.371564, 6.52318 -1.57886  2.27302, 0.877838  0.344219 0.0317607,    0.72912   -0.107452 1.23705e-15, 0.196507  0.304851 0.0283862,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-1.15284  143.439  477.348,0 0 0,-34.2444  109.714  429.149
0.75, 0.437944 0.0820196  0.372131,5.21619 -1.4184 2.32935, 0.888851  0.347377 0.0229751,    0.72912   -0.107452 1.23705e-15,0.207492 0.307203 0.020534,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.872619   123.356   415.703,0 0 0,-29.5945  94.1418  373.991
0.76, 0.445919 0.0891683  0.373275, 3.78222 -1.24198  2.39034, 0.898185  0.350053 0.0152922,    0.72912   -0.107452 1.23705e-15, 0.216803  0.309196 0.0136674,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.604578   94.1445   319.946,0 0 0,-22.6612  71.7399  287.976
0.77, 0.453843 0.0966846  0.374686,2.24674 -1.0526 2.45445, 0.905695  0.352206 0.0089327,    0.72912   -0.107452 1.23705e-15,  0.224294   0.310799 0.00798362,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.366007   61.5045   210.286,0 0 0,-14.8398  46.8163  189.336
0.78,0.461729 0.104477 0.376051, 0.635168 -0.853259    2.5201,  0.911237   0.353796 0.00411713,    0.72912   -0.107452 1.23705e-15,  0.229823   0.311983 0.00367969,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.174195   31.1346   106.934,0 0 0,-7.52566  23.6795  96.3047
0.79, 0.46959 0.112453 0.377058, -1.02705 -0.646973   2.58576,  0.914668   0.354779 0.00106604,    0.72912   -0.107452 1.23705e-15,   0.233246    0.312716 0.000952777,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-0.0464302    8.73345     30.102,0 0 0,-2.11396  6.63796   27.115
0.8,0.477438  0.12052 0.377396, -2.71448 -0.436748   2.64985,   0.915844    0.355116 1.05471e-15,    0.72912   -0.107452 1.23705e-15,   0.234418    0.312967 3.83027e-15,  0.0386138  -0.0992663 4.00851e-16,0 0 0,-5.55112e-16  5.68434e-14  2.27374e-13,0 0 0,          0           0 2.27374e-13
0.81,0.485281 0.128589 0.376859, -4.40188 -0.226622    2.7108,   0.915844    0.355116 1.05332e-15,  0.730223   -0.10727 0.00142297,   0.234418    0.312967 3.74629e-15, 0.0399452 -0.0988701 0.00123145,-0.612643  -7.94644   30.9105,0 0 0,-1.19674 -6.79244  27.2792,0 0 0
0.82,0.493115 0.136571 0.375657,  -6.06484 -0.0247606    2.76689,   0.915844    0.355116 1.05332e-15,  0.73344 -0.106738 0.0054956,   0.234418    0.312967 3.74629e-15, 0.0438308 -0.0977137 0.00475594,-2.17634 -28.3184  109.809,0 0 0,-4.25477 -24.2106  96.8908,0 0 0
0.83,0.500929 0.144378  0.37411,-7.67913 0.159636  2.81637,   0.915844    0.355116 1.05332e-15, 0.738637  -0.10588 0.0119235,   0.234418    0.312967 3.74629e-15, 0.0501076 -0.0958457  0.0103187,-4.27974  -55.915  215.948,0 0 0,-8.37579 -47.8158  190.496,0 0 0
0.84,0.508713 0.151925 0.372534,-9.22056 0.317371   2.8575,   0.915844    0.355116 1.05332e-15, 0.745679 -0.104716 0.0204122,   0.234418    0.312967 3.74629e-15, 0.0586124 -0.0933146  0.0176649,-6.51151 -85.5353  328.576,0 0 0,-12.7615 -73.1694  289.757,0 0 0
0.85,0.516457 0.159123 0.371245,-10.6649 0.439244  2.88854,   0.915844    0.355116 1.05332e-15,  0.75443 -0.103271 0.0306674,   0.234418    0.312967 3.74629e-15, 0.0691823 -0.0901689  0.0265398,-8.46029 -111.978  426.947,0 0 0,-16.6137 -95.8325  376.335,0 0 0
0.86,0.524151 0.165887 0.370562,-11.9879 0.516056  2.90773,   0.915844    0.355116 1.05332e-15, 0.764756 -0.101565 0.0423947,   0.234418    0.312967 3.74629e-15, 0.0816543 -0.0864571  0.0366887,-9.71473 -130.043   490.31,0 0 0,-19.1339 -111.367   431.89,0 0 0
0.87,0.531785 0.172129 0.370801,-13.1654 0.538611  2.91333,   0.915844    0.355116 1.05332e-15,  0.776523 -0.0996211  0.0552995,   0.234418    0.312967 3.74629e-15, 0.0958653 -0.0822278  0.0478566,-9.94367 -135.475  501.958,0 0 0, -19.677 -116.137   441.67,0 0 0
0.88,0.539348 0.177762  0.37228,-14.1732 0.497708   2.9036,   0.915844    0.355116 1.05332e-15,  0.789594 -0.0974618  0.0690876,   0.234418    0.312967 3.74629e-15,  0.111652 -0.0775294  0.0597889, -9.8999 -136.924  499.829,0 0 0,-19.6701 -117.481  439.382,0 0 0
0.89,0.546832 0.182698 0.375315,-14.9871 0.384149  2.87679,   0.915844    0.355116 1.05332e-15,  0.803834 -0.0951092  0.0834645,   0.234418    0.312967 3.74629e-15,  0.128852 -0.0724106  0.0722308,-9.87363 -137.794  498.552,0 0 0,-19.6659 -118.287  438.009,0 0 0
0.9,0.554225 0.186852 0.380225,-15.5827 0.188736  2.83116,   0.915844    0.355116 1.05332e-15,   0.81911 -0.0925857  0.0981358,   0.234418    0.312967 3.74629e-15,  0.147302 -0.0669197  0.0849274,-9.86488 -138.084  498.126,0 0 0,-19.6645 -118.556  437.552,0 0 0
0.91,0.561522 0.190165  0.38722,  -15.9441 -0.0946631    2.76552,   0.915844    0.355116 1.05332e-15,  0.835286 -0.0899135   0.112807,   0.234418    0.312967 3.74629e-15,  0.166839 -0.0611054  0.0976241,-9.87363 -137.794  498.552,0 0 0,-19.6659 -118.287  438.009,0 0 0
0.92,0.568729 0.192695 0.396088,  -16.087 -0.459906   2.68087,   0.915844    0.355116 1.05332e-15,  0.852226 -0.0871149   0.127184,   0.234418    0.312967 3.74629e-15,  0.187299 -0.0550162   0.110066, -9.8999 -136.924  499.829,0 0 0,-19.6701 -117.481  439.382,0 0 0
0.93,0.575855 0.194528 0.406514, -16.0356 -0.897786   2.57879,   0.915844    0.355116 1.05332e-15,  0.869797 -0.0842123   0.140972,   0.234418    0.312967 3.74629e-15,   0.20852 -0.0487005   0.121998,-9.94367 -135.475  501.958,0 0 0, -19.677 -116.137   441.67,0 0 0
